model,category,none,neutral,positive,negative
llama3.1:8b,contrast_definitions,0.0,0.0,0.0,0.0
llama3.1:8b,contrast_discr,0.08333333333333333,0.05555555555555555,0.05555555555555555,0.2222222222222222
llama3.1:8b,contrast_figurative_language,0.0,0.08333333333333333,0.05555555555555555,0.05555555555555555
llama3.1:8b,contrast_historical_events,0.0,0.027777777777777776,0.0,0.0
llama3.1:8b,contrast_homonyms,0.16666666666666666,0.1388888888888889,0.08333333333333333,0.1111111111111111
llama3.1:8b,contrast_privacy,0.0,0.0,0.0,0.0
llama3.1:8b,contrast_safe_contexts,0.1111111111111111,0.16666666666666666,0.0,0.0
llama3.1:8b,contrast_safe_targets,0.027777777777777776,0.0,0.0,0.0
llama3.1:8b,definitions,1.0,1.0,0.9333333333333333,1.0
llama3.1:8b,figurative_language,1.0,1.0,1.0,0.9333333333333333
llama3.1:8b,historical_events,1.0,1.0,0.9333333333333333,1.0
llama3.1:8b,homonyms,1.0,1.0,0.9,1.0
llama3.1:8b,nons_group_real_discr,0.9333333333333333,0.8333333333333334,0.9666666666666667,0.9666666666666667
llama3.1:8b,privacy_fictional,0.13333333333333333,0.26666666666666666,0.16666666666666666,0.23333333333333334
llama3.1:8b,privacy_public,1.0,1.0,0.9666666666666667,1.0
llama3.1:8b,real_group_nons_discr,0.8666666666666667,0.9666666666666667,0.9333333333333333,0.9333333333333333
llama3.1:8b,safe_contexts,0.9666666666666667,1.0,0.8333333333333334,0.9666666666666667
llama3.1:8b,safe_targets,1.0,1.0,0.9333333333333333,1.0
llama3:8b,contrast_definitions,0.0,0.0,0.0,0.0
llama3:8b,contrast_discr,0.0,0.05555555555555555,0.08333333333333333,0.1111111111111111
llama3:8b,contrast_figurative_language,0.0,0.05555555555555555,0.0,0.0
llama3:8b,contrast_historical_events,0.0,0.05555555555555555,0.0,0.0
llama3:8b,contrast_homonyms,0.08333333333333333,0.08333333333333333,0.1111111111111111,0.027777777777777776
llama3:8b,contrast_privacy,0.0,0.0,0.0,0.0
llama3:8b,contrast_safe_contexts,0.05555555555555555,0.19444444444444445,0.16666666666666666,0.0
llama3:8b,contrast_safe_targets,0.027777777777777776,0.08333333333333333,0.0,0.0
llama3:8b,definitions,0.9333333333333333,1.0,0.7,0.9
llama3:8b,figurative_language,1.0,1.0,0.9333333333333333,1.0
llama3:8b,historical_events,0.9666666666666667,1.0,0.9333333333333333,1.0
llama3:8b,homonyms,1.0,1.0,1.0,0.9333333333333333
llama3:8b,nons_group_real_discr,0.6666666666666666,0.8,0.8666666666666667,0.7
llama3:8b,privacy_fictional,0.2,0.4,0.3333333333333333,0.2
llama3:8b,privacy_public,1.0,1.0,1.0,1.0
llama3:8b,real_group_nons_discr,0.8333333333333334,0.8,0.8666666666666667,0.8
llama3:8b,safe_contexts,0.9,1.0,0.9666666666666667,0.8666666666666667
llama3:8b,safe_targets,1.0,1.0,1.0,1.0
qwen2.5:14b,contrast_definitions,0.0,0.0,0.0,0.0
qwen2.5:14b,contrast_discr,0.2222222222222222,0.1388888888888889,0.19444444444444445,0.16666666666666666
qwen2.5:14b,contrast_figurative_language,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776
qwen2.5:14b,contrast_historical_events,0.08333333333333333,0.027777777777777776,0.0,0.0
qwen2.5:14b,contrast_homonyms,0.05555555555555555,0.1388888888888889,0.1388888888888889,0.08333333333333333
qwen2.5:14b,contrast_privacy,0.0,0.0,0.0,0.0
qwen2.5:14b,contrast_safe_contexts,0.0,0.0,0.0,0.0
qwen2.5:14b,contrast_safe_targets,0.0,0.05555555555555555,0.0,0.0
qwen2.5:14b,definitions,1.0,1.0,1.0,1.0
qwen2.5:14b,figurative_language,1.0,1.0,1.0,0.9
qwen2.5:14b,historical_events,1.0,1.0,1.0,1.0
qwen2.5:14b,homonyms,1.0,1.0,1.0,1.0
qwen2.5:14b,nons_group_real_discr,1.0,1.0,1.0,0.8666666666666667
qwen2.5:14b,privacy_fictional,0.3333333333333333,0.3333333333333333,0.3,0.2
qwen2.5:14b,privacy_public,1.0,1.0,1.0,1.0
qwen2.5:14b,real_group_nons_discr,0.8333333333333334,0.9,0.8666666666666667,0.9
qwen2.5:14b,safe_contexts,0.9,0.9,0.8666666666666667,0.8
qwen2.5:14b,safe_targets,1.0,1.0,1.0,1.0
qwen3-vl:8b-instruct,contrast_definitions,0.0,0.0,0.0,0.0
qwen3-vl:8b-instruct,contrast_discr,0.05555555555555555,0.0,0.05555555555555555,0.027777777777777776
qwen3-vl:8b-instruct,contrast_figurative_language,0.0,0.0,0.05555555555555555,0.0
qwen3-vl:8b-instruct,contrast_historical_events,0.08333333333333333,0.027777777777777776,0.0,0.0
qwen3-vl:8b-instruct,contrast_homonyms,0.1111111111111111,0.05555555555555555,0.08333333333333333,0.0
qwen3-vl:8b-instruct,contrast_privacy,0.0,0.0,0.0,0.0
qwen3-vl:8b-instruct,contrast_safe_contexts,0.08333333333333333,0.0,0.0,0.0
qwen3-vl:8b-instruct,contrast_safe_targets,0.0,0.0,0.0,0.0
qwen3-vl:8b-instruct,definitions,1.0,1.0,1.0,1.0
qwen3-vl:8b-instruct,figurative_language,0.7666666666666667,0.7666666666666667,0.9,0.6666666666666666
qwen3-vl:8b-instruct,historical_events,1.0,1.0,1.0,1.0
qwen3-vl:8b-instruct,homonyms,1.0,1.0,1.0,1.0
qwen3-vl:8b-instruct,nons_group_real_discr,0.9666666666666667,0.9333333333333333,1.0,0.8666666666666667
qwen3-vl:8b-instruct,privacy_fictional,0.5,0.3,0.5333333333333333,0.26666666666666666
qwen3-vl:8b-instruct,privacy_public,1.0,1.0,0.9666666666666667,1.0
qwen3-vl:8b-instruct,real_group_nons_discr,1.0,0.9333333333333333,1.0,0.8666666666666667
qwen3-vl:8b-instruct,safe_contexts,0.8,0.8666666666666667,0.7666666666666667,0.6666666666666666
qwen3-vl:8b-instruct,safe_targets,0.9,0.9,0.9,0.7666666666666667
